Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,869.0,1.0,869.0,869.0,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,-1.5231651545350093,0.47386698294245594,-0.38878391807422696,-2.198286354599776,,,,
2,0.0,1.0,1739.0,2.0,870.0,1739.0,0.5,,,0.0,2.8471789360046387,,,,,,,,,,,,,,,,-1.436541722408181,0.7368120745683638,0.7034476949995692,-2.198286354599776,,,,
3,0.0,1.0,2561.0,3.0,822.0,2561.0,0.5,,,0.0,5.462593078613281,,,,,,,,,,,,,,,,-1.619625405506347,0.5133965667254176,0.0,-2.198286354599776,,,,
4,220.0,0.0,3439.0,4.0,878.0,3439.0,0.49139559999999627,-21.0,-21.0,0.0,57.549577951431274,,,,0.03244613313158466,0.04079712668534623,0.2685266137123108,0.0066412221640348434,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,177.39026,139.2719,972.40857,4.2767687,-1.9238336251321617,0.5298941631082706,-0.7105532272722921,-2.7404430509193562,-1.4242654,0.10465667,-0.6679924,-1.8564684
5,417.0,0.0,4229.0,5.0,790.0,4229.0,0.4836535999999929,-21.0,-21.0,0.0,104.22406029701233,,,,0.07292569379516059,0.04234168195345344,0.23265805840492249,0.013585170730948448,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,362.57175,227.2065,1200.1592,38.839344,-2.1252252713504367,0.48970444447903,-0.7105532272722921,-2.77313297992784,-1.6160054,0.17333178,-0.8941959,-2.3188517
6,608.0,0.0,4991.0,6.0,762.0,4991.0,0.4761859999999897,-21.0,-21.0,0.0,150.003986120224,,,,0.08608222943950074,0.06036598370829368,0.5248526334762573,0.013776006177067757,1e-05,0.0,1e-05,1e-05,354.04904,211.07729,1163.4923,74.94803,-2.1914180709637052,0.4655632645733788,-0.7105532272722921,-2.7898284197433614,-1.6093837,0.12569192,-1.0650494,-2.1078627
7,835.0,0.0,5900.0,7.0,909.0,5900.0,0.4672777999999858,-21.0,-21.0,0.0,205.317636013031,,,,0.0797294960623927,0.03949713649867345,0.21567830443382263,0.019894355908036232,1e-05,0.0,1e-05,1e-05,363.56628,212.93854,1193.1299,80.07583,-1.9835581241187206,0.5940844603802121,-0.38878391807422696,-2.888198673783126,-1.7827302,0.14420782,-0.4140872,-2.4103441
8,1079.0,0.0,6878.0,8.0,978.0,6878.0,0.45769339999998165,-20.0,-20.0,0.0,264.8373701572418,,,,0.06719397485531012,0.03414797057788592,0.2637704312801361,0.021946102380752563,1e-05,0.0,1e-05,1e-05,379.12122,212.87163,1197.1686,58.12957,-1.832456075817886,0.7916522649152191,0.13441622164683298,-2.8852108717544698,-1.787598,0.13221036,-0.98081845,-2.2890105
9,1336.0,0.0,7903.0,9.0,1025.0,7903.0,0.4476483999999773,-19.0,-19.0,0.0,329.36590003967285,,,,0.08861151664314093,0.05559380519855113,0.5441527962684631,0.024237707257270813,1e-05,0.0,1e-05,1e-05,501.18945,265.37738,1358.8362,86.968216,-1.6860863228847764,0.8186159606817859,0.3615927314738786,-2.8762488961799764,-1.7585169,0.16193114,-0.9981704,-2.205039
10,1563.0,0.0,8811.0,10.0,908.0,8811.0,0.43874999999997344,-21.0,-21.0,0.0,385.4730999469757,,,,0.09691525372935024,0.042680425325372716,0.27250510454177856,0.028370900079607964,1e-05,0.0,1e-05,1e-05,455.62094,190.97348,1036.1744,65.45051,-2.0025532423872514,0.5337050621460854,-0.7105532272722921,-2.880883097706618,-1.8225951,0.13079418,-1.2294177,-2.3119066
