Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,851.0,1.0,851.0,851.0,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,-1.544185157743743,0.4556271534858078,-0.38878391807422696,-2.198286354599776,,,,
2,0.0,1.0,1952.0,2.0,1101.0,1952.0,0.5,,,0.0,3.504873275756836,,,,,,,,,,,,,,,,-1.0775608833991284,0.8349273857716535,1.4566097477439146,-2.198286354599776,,,,
3,0.0,1.0,3002.0,3.0,1050.0,3002.0,0.5,,,0.0,6.890752077102661,,,,,,,,,,,,,,,,-1.2515253040380239,0.6609394022953761,0.0,-2.198286354599776,,,,
4,258.0,0.0,4034.0,4.0,1032.0,4034.0,0.4898863999999956,-21.0,-21.0,0.0,71.44068193435669,,,,0.040608650560729036,0.03977149305395308,0.43501242995262146,0.008034996688365936,1e-05,0.0,1e-05,1e-05,200.71509,156.8863,860.39825,5.140103,-1.686565874630951,0.6092572547863992,-0.38249748945236206,-2.6417681344421906,-1.3223139,0.11271211,-0.90119743,-1.6641185
5,471.0,0.0,4885.0,5.0,851.0,4885.0,0.481546599999992,-21.0,-21.0,0.0,123.50857496261597,,,,0.05132569571598455,0.023318912603841578,0.12802810966968536,0.014608659781515598,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,248.15732,167.98245,881.7792,32.60737,-1.9813632026123047,0.532469446779206,-0.7105532272722921,-2.7583215237243794,-1.3880913,0.11364175,-0.96333396,-1.7567489
6,761.0,0.0,6047.0,6.0,1162.0,6047.0,0.47015899999998706,-18.0,-18.0,0.0,193.91179013252258,,,,0.047990626424294094,0.017309349288695163,0.12259368598461151,0.010870162397623062,1e-05,0.0,1e-05,1e-05,263.70273,148.94566,970.5721,36.536568,-1.4376100777132375,0.8764019697232751,0.910605886766257,-2.748951733170333,-1.513839,0.123035915,-1.0793908,-1.950449
7,1019.0,0.0,7076.0,7.0,1029.0,7076.0,0.4600747999999827,-18.0,-18.0,0.0,258.02516198158264,,,,0.06228983050741342,0.028443179858790087,0.23719422519207,0.0203990675508976,1e-05,0.0,1e-05,1e-05,372.6943,243.34099,1241.8715,42.919468,-1.5508028651891335,0.966339525841668,0.8712625388275113,-2.77410691982347,-1.5066582,0.1383115,-0.93829095,-1.9108505
8,1316.0,0.0,8264.0,8.0,1188.0,8264.0,0.44843239999997764,-18.0,-18.0,0.0,334.10511302948,,,,0.07466776621361775,0.03045615918224137,0.2266579568386078,0.026935916393995285,1e-05,0.0,1e-05,1e-05,438.247,234.6636,1360.707,56.344852,-1.4206896747793412,0.8302614831058379,0.5872135906522369,-2.871644496975722,-1.5570124,0.18808897,-0.6884885,-2.420312
9,1529.0,0.0,9117.0,9.0,853.0,9117.0,0.440072999999974,-21.0,-21.0,0.0,388.571750164032,,,,0.08306168565447901,0.032387461189114994,0.21466434001922607,0.03012613207101822,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,467.20078,216.6232,1237.784,96.70037,-2.016204167779913,0.5475413225472004,-0.7105532272722921,-2.8488361240013265,-1.6017247,0.16984224,-0.75514853,-2.1041536
10,1857.0,0.0,10428.0,10.0,1311.0,10428.0,0.42722519999996844,-16.0,-16.0,0.0,476.31767225265503,,,,0.08526977956885608,0.03618523223901957,0.24373266100883484,0.028294961899518967,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,472.41022,242.73201,1602.2656,97.29426,-1.248311146933938,0.9203360497699165,0.9398721245895352,-2.901654481945815,-1.583631,0.1928946,-0.7527295,-2.2998068
11,2096.0,0.0,11386.0,11.0,958.0,11386.0,0.41783679999996437,-20.0,-20.0,0.0,536.4525759220123,,,,0.08538260278155614,0.03210592532913858,0.20440155267715454,0.031043674796819687,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,416.65173,225.57161,1311.403,93.73525,-1.7357767241655366,0.7518680598231423,0.3039106568472424,-2.8159092069252156,-1.5037816,0.21683766,-0.46273485,-2.2537181
